address,name,fcode_des,category_borealis,subcategory_borealis,category_original,subcategory_original,lat,long
10 Kensington Ave,Urban Catwalk,Other Point of Interest,,,RETAIL,VINTAGE CLOTHING,43.65309175,-79.40031364
10 St Andrew St,Anshei Minsk Synagogue,Place of Worship,,,SOCIAL/COMMUNITY,HOUSE OF WORSHIP,43.6544636,-79.39952646
12 Kensington Ave,Last Temptation,Other Point of Interest,Restaurants,Full-Service Restaurants,RESTAURANT AND BARS,EAT-IN RESTAURANT / CAFE,43.6531333,-79.40042739
138 Augusta Ave,Grace Hair Salon,Mixed Use,,,SERVICES,SALON,43.65234291,-79.40147019
14 Kensington Ave,Courage My Love,Other Point of Interest,Clothing-Used,Used Merchandise Retailers,RETAIL,VINTAGE CLOTHING,43.65318265,-79.40044691
14 St Andrew St,Genesis One,Other Point of Interest,,,RETAIL,SPECIALTY STORE,43.65440336,-79.39964957
143 Augusta Ave,Retro Heads Vintage,Mixed Use,,,RETAIL,VINTAGE CLOTHING,43.65250527,-79.40092253
144 Augusta Ave,Tattoo Studio,Commercial Location,,,SERVICES,TATTOO,43.65258174,-79.4015754
145 Augusta Ave,Polyester Studio,Mixed Use,,,ARTS & PERFORMANCE,FINE ARTS STUDIO,43.65255154,-79.40095009
145 Augusta Ave,Weekend Characters,,,,RETAIL,NEW CLOTHING,43.6525046,-79.4010413
146 Augusta Ave,Vintage Outlaws,Commercial Location,,,RETAIL,VINTAGE CLOTHING,43.65257193,-79.40156031
146 Augusta Ave,Kim's Fashions,,,,SERVICES,OTHER,43.652533,-79.4013664
147 Baldwin St,Spaghetti House,Unknown,Restaurants,Full-Service Restaurants,RESTAURANT AND BARS,EAT-IN RESTAURANT / CAFE,43.65491409,-79.39947623
149 Augusta Ave,Dy Nail Studio,Commercial Location,,,RETAIL,SALON,43.65253979,-79.40155517
149 Baldwin St,The Jerk Spot,Unknown,Restaurants,Full-Service Restaurants,RESTAURANT AND BARS,TAKE-OUT RESTAURANT,43.65491304,-79.3995359
14a St Andrew St,Tree's In The Six,,,,RETAIL,CANNABIS,,
15 Carlyle St,Starling Automotive,Commercial Location,Automobile Repairing & Service,General Automotive Repair,SERVICES,OTHER,43.65238287,-79.40453091
