_id,Category,Licence No.,Operating Name,Issued,Client Name,Business Phone,Business Phone Ext.,Licence Address Line 1,Licence Address Line 2,Licence Address Line 3,Ward,Conditions,Free Form Conditions Line 1,Free Form Conditions Line 2,Plate No.,Endorsements,Cancel Date,Last Record Update,full_address,latitude,longitude
137,LIMOUSINE SERVICE COMPANY,B04-3612409,,2006-06-29,"HOY, SIDNEY",,,112 BALDWIN ST,"TORONTO, ON",M5T 1L6,11.0,MAILING ADDRESS ONLY; MUST COMPLY WITH CITY/ZONING BY-LAWS;,,,,LIMOUSINE SERVICE COMPANY;,2007-09-29,2007-09-29,"112 BALDWIN ST, TORONTO, ON, M5T 1L6",43.6553561,-79.3975904
321,LIMOUSINE SERVICE COMPANY,B04-3725390,HIRUY ALEMSEGED WOLDETEKIE,2007-08-02,"WOLDETEKIE, HIRUY ALEMSEGED",,,"96 ST PATRICK ST, #802","TORONTO, ON",M5T 1V2,10.0,MAILING ADDRESS ONLY; MUST COMPLY WITH CITY/ZONING BY-LAWS;,,,,LIMOUSINE SERVICE COMPANY;,2020-11-03,2020-11-03,"96 ST PATRICK ST, #802, TORONTO, ON, M5T 1V2",43.65316319999999,-79.3900354
369,TAXICAB OPERATOR,B05-5000993,,2020-01-06,"NURUDDIN, MOHAMMAD",,,121 VANAULEY WALK,"TORONTO, ON",M5T 2H9,10.0,OFFICE USE ONLY;,,,,TAXICAB OPERATOR;,2020-09-09,2020-09-09,"121 VANAULEY WALK, TORONTO, ON, M5T 2H9",43.6504508,-79.39954709999999
421,PRIVATE PARKING ENFORCEMENT AGENCY,B06-3239187,ONTARIO COLLEGE OF ART & DESIGN,2002-07-17,ONTARIO COLLEGE OF ART & DESIGN,,,100 MCCAUL ST,"TORONTO, ON",M5T 1W1,10.0,,,,,PRIVATE PARKING ENFORCEMENT AGENCY;,2005-07-17,2014-09-30,"100 MCCAUL ST, TORONTO, ON, M5T 1W1",43.65318449999999,-79.3914842
632,DRIVING SCHOOL OPERATOR (B),B12-3239159,GOOD LUCK DRIVING SCHOOL,2002-02-15,GOOD LUCK GROUP INC,,,350 DUNDAS ST W,"TORONTO, ON",M5T 1G5,11.0,OFFICE USE ONLY;,"438-86, AS AMENDED",,,D.S.O. - OFFICE - NO VEHICLE;,2005-05-18,2007-07-17,"350 DUNDAS ST W, TORONTO, ON, M5T 1G5",43.6541632,-79.3930026
679,DRIVING SCHOOL OPERATOR (B),B12-3364707,KINGSWAY (DOWNTOWN) DRIVING SCHOOL,2003-10-01,1581224 ONTARIO INC,,,"289 SPADINA AVE, #202","TORONTO, ON",M5T 2E6,11.0,,,,,D.S.O. - OFFICE - NO VEHICLE;,2006-08-02,2007-07-17,"289 SPADINA AVE, #202, TORONTO, ON, M5T 2E6",43.6533515,-79.3977866
703,DRIVING SCHOOL OPERATOR (B),B12-3121253,TORONTO CENTRAL DRIVING SCHOOL,2001-03-22,PAN AM PACIFIC INC,,,"310 SPADINA AVE, #206","TORONTO, ON",M5T 2E8,11.0,,,,,D.S.O. - OFFICE - NO VEHICLE;,2007-04-04,2007-07-17,"310 SPADINA AVE, #206, TORONTO, ON, M5T 2E8",43.6536526,-79.3989024
848,DRIVING SCHOOL OPERATOR (B),B12-3608463,TORONTO CENTRAL DRIVING SCHOOL,2006-04-05,TORONTO CENTRAL DRIVING SCHOOL INC,,,"310 SPADINA AVE, #206","TORONTO, ON",M5T 2E8,11.0,,,,,D.S.O. - OFFICE - NO VEHICLE;,2012-10-09,2012-10-09,"310 SPADINA AVE, #206, TORONTO, ON, M5T 2E8",43.6536526,-79.3989024
951,DRIVING SCHOOL OPERATOR (B),B12-4200785,TORONTO CENTRAL DRIVING SCHOOL,2012-10-09,TORONTO CENTRAL TRAINING SCHOOL INC,,,"310 SPADINA AVE, #206","TORONTO, ON",M5T 2E8,11.0,,,,,D.S.O. - OFFICE - NO VEHICLE;,2016-07-18,2016-07-18,"310 SPADINA AVE, #206, TORONTO, ON, M5T 2E8",43.6536526,-79.3989024
953,DRIVING SCHOOL OPERATOR (B),B12-3122337,WORLD DRIVING SCHOOL,2001-04-26,WORLD DRIVING SCHOOL INC,,,"310 SPADINA AVE, G12-G13A","TORONTO, ON",M5T 2E8,11.0,,,,,D.S.O. - OFFICE - NO VEHICLE;,2016-07-27,2016-07-27,"310 SPADINA AVE, G12-G13A, TORONTO, ON, M5T 2E8",43.6536526,-79.3989024
1002,DRIVING SCHOOL OPERATOR (B),B12-3613739,KINGSWAY (DOWNTOWN) DRIVING SCHOOL,2006-08-11,YIFAN INC,,,"289 SPADINA AVE, #202","TORONTO, ON",M5T 2E6,11.0,,,,,D.S.O. - OFFICE - NO VEHICLE;,2018-10-30,2018-10-30,"289 SPADINA AVE, #202, TORONTO, ON, M5T 2E6",43.6533515,-79.3977866
1018,DRIVING SCHOOL OPERATOR (B),B12-4308222,CHUNGHWA DRIVING SCHOOL,2013-05-22,CHUNGHWA DRIVING SCHOOL INC,,,"411 DUNDAS ST W, #205","TORONTO, ON",M5T 1G6,10.0,,"""PRIMARY ADDRESS: 417 DUNDAS STREET WEST""",,,D.S.O. - OFFICE - NO VEHICLE;,2019-08-22,2023-03-31,"411 DUNDAS ST W, #205, TORONTO, ON, M5T 1G6",43.6534326,-79.39490909999999
1097,DRIVING SCHOOL OPERATOR (B),B12-4965008,CHUNGHWA DRIVING SCHOOL,2019-08-29,CHUNGHWA DRIVING SCHOOL INC,,,"411 DUNDAS ST W, #205","TORONTO, ON",M5T 1G6,10.0,,"""PRIMARY ADDRESS: 417 DUNDAS STREET WEST""",,,D.S.O. - OFFICE - NO VEHICLE;,2022-11-28,2022-11-28,"411 DUNDAS ST W, #205, TORONTO, ON, M5T 1G6",43.6534326,-79.39490909999999
1176,DRIVING SCHOOL OPERATOR (B),B12-5319714,CHUNGHWA DRIVING SCHOOL,2023-05-19,CHUNGHWA DRIVING SCHOOL INC,,,"280 SPADINA AVE, #307","TORONTO, ON",M5T 3A5,10.0,,,,,D.S.O. - OFFICE - NO VEHICLE;,2025-08-17,2025-08-17,"280 SPADINA AVE, #307, TORONTO, ON, M5T 3A5",43.6523986,-79.39855399999999
1222,DRIVING SCHOOL OPERATOR (B),B12-4646665,WORLD DRIVING SCHOOL INC,2016-04-21,WORLD DRIVING SCHOOL INC,4165643170.0,,"222 SPADINA AVE, #235","TORONTO, ON",M5T 2E2,10.0,,,,,D.S.O. - OFFICE - NO VEHICLE;,,2025-03-20,"222 SPADINA AVE, #235, TORONTO, ON, M5T 2E2",43.6507675,-79.39776239999999
1224,DRIVING SCHOOL OPERATOR (B),B12-4653511,TORONTO CENTRAL DRIVING SCHOOL,2016-08-15,TORONTO CENTRAL TRAINING SCHOOL INC,4169776329.0,,"222 SPADINA AVE, #233","TORONTO, ON",M5T 3B3,10.0,,,,,D.S.O. - OFFICE - NO VEHICLE;,,2025-08-05,"222 SPADINA AVE, #233, TORONTO, ON, M5T 3B3",43.65103000000001,-79.39820499999999
1387,DRIVING SCHOOL OPERATOR (B),B12-5590973,CITY STAR DRIVING SCHOOL LTD,2025-10-24,CITY STAR DRIVING SCHOOL LTD,,,"180 JOHN ST, #419","TORONTO, ON",M5T 1X5,10.0,OFFICE USE ONLY;,,,,D.S.O. - ADDITIONAL OFFICE - NO VEHICLE;,,2025-10-24,"180 JOHN ST, #419, TORONTO, ON, M5T 1X5",43.65068180000001,-79.3917471
